2021-09-17 17:37:03,060 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:37:56,934 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,840 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:17,533 INFO epoch = 2, iteration = 0, loss_policy = 4.969292640686035, loss_value = 0.7081945538520813, loss = 5.677487373352051, accuracy = 0.0, 0.0
2021-09-17 17:39:17,576 INFO epoch = 2, iteration = 0, loss_policy = 14.465046882629395, loss_value = 0.7060136795043945, loss = 15.171060562133789, accuracy = 0.0, 0.0
2021-09-17 17:39:17,623 INFO epoch = 2, iteration = 0, loss_policy = 7.652109146118164, loss_value = 0.6801483631134033, loss = 8.332257270812988, accuracy = 0.0, 0.0
2021-09-17 17:39:17,680 INFO epoch = 2, iteration = 0, loss_policy = 8.143070220947266, loss_value = 0.6991878747940063, loss = 8.84225845336914, accuracy = 1.0, 0.0
2021-09-17 17:39:17,751 INFO epoch = 2, iteration = 0, loss_policy = 13.940506935119629, loss_value = 0.7883038520812988, loss = 14.728811264038086, accuracy = 0.0, 1.0
2021-09-17 17:39:17,810 INFO epoch = 2, iteration = 0, loss_policy = 0.039898909628391266, loss_value = 0.7613965272903442, loss = 0.8012954592704773, accuracy = 1.0, 1.0
2021-09-17 17:39:17,868 INFO epoch = 2, iteration = 0, loss_policy = 13.250802040100098, loss_value = 0.7355641722679138, loss = 13.986366271972656, accuracy = 0.0, 0.0
2021-09-17 17:39:17,927 INFO epoch = 2, iteration = 0, loss_policy = 0.22045812010765076, loss_value = 0.7962727546691895, loss = 1.0167309045791626, accuracy = 0.0, 0.0
2021-09-17 17:39:17,996 INFO epoch = 2, iteration = 0, loss_policy = 2.7882275581359863, loss_value = 0.688860297203064, loss = 3.47708797454834, accuracy = 0.0, 0.0
2021-09-17 17:39:18,060 INFO epoch = 2, iteration = 0, loss_policy = 1.1697173118591309, loss_value = 0.6697490811347961, loss = 1.8394663333892822, accuracy = 0.0, 1.0
2021-09-17 17:39:18,115 INFO epoch = 2, iteration = 0, loss_policy = 11.351797103881836, loss_value = 0.7220067977905273, loss = 12.073803901672363, accuracy = 0.0, 0.0
2021-09-17 17:39:18,164 INFO epoch = 2, iteration = 0, loss_policy = 18.242633819580078, loss_value = 0.5706043243408203, loss = 18.8132381439209, accuracy = 0.0, 1.0
2021-09-17 17:39:18,212 INFO epoch = 2, iteration = 0, loss_policy = 10.450824737548828, loss_value = 0.6948079466819763, loss = 11.14563274383545, accuracy = 0.0, 0.0
2021-09-17 17:39:18,262 INFO epoch = 2, iteration = 0, loss_policy = 8.54927921295166, loss_value = 0.6752397418022156, loss = 9.224518775939941, accuracy = 0.0, 0.0
2021-09-17 17:39:18,312 INFO epoch = 2, iteration = 0, loss_policy = 5.216289520263672, loss_value = 0.6826642751693726, loss = 5.898953914642334, accuracy = 0.0, 1.0
2021-09-17 17:39:18,399 INFO epoch = 2, iteration = 0, loss_policy = 7.157476902008057, loss_value = 0.6728485226631165, loss = 7.830325603485107, accuracy = 0.0, 1.0
2021-09-17 17:39:18,472 INFO epoch = 2, iteration = 0, loss_policy = 8.913759231567383, loss_value = 0.7081394791603088, loss = 9.621898651123047, accuracy = 1.0, 1.0
2021-09-17 17:39:18,525 INFO epoch = 2, iteration = 0, loss_policy = 3.0920941829681396, loss_value = 0.7609591484069824, loss = 3.853053331375122, accuracy = 0.0, 0.0
